,silh_score,method,factor
0,0.030694860965013504,bbknn,Batch
1,0.05494857579469681,bbknn,Batch
2,0.052267998456954956,bbknn,Batch
3,0.06635722517967224,bbknn,Batch
4,0.04053397476673126,bbknn,Batch
5,0.06137032434344292,bbknn,Batch
6,0.06760761141777039,bbknn,Batch
7,0.057862456887960434,bbknn,Batch
8,0.057425130158662796,bbknn,Batch
9,0.037821680307388306,bbknn,Batch
10,0.06819373369216919,bbknn,Batch
11,0.058783914893865585,bbknn,Batch
12,0.053093649446964264,bbknn,Batch
13,0.058466434478759766,bbknn,Batch
14,0.05620574951171875,bbknn,Batch
15,0.04283605515956879,bbknn,Batch
16,0.044674430042505264,bbknn,Batch
17,0.046869728714227676,bbknn,Batch
18,0.034215837717056274,bbknn,Batch
19,0.06040447577834129,bbknn,Batch
20,0.048336803913116455,bbknn,Batch
21,0.03948933258652687,bbknn,Batch
22,0.055027853697538376,bbknn,Batch
23,0.03974924236536026,bbknn,Batch
24,0.05224152281880379,bbknn,Batch
25,0.05277388542890549,bbknn,Batch
26,0.06384513527154922,bbknn,Batch
27,0.045616909861564636,bbknn,Batch
28,0.04928288981318474,bbknn,Batch
29,0.0550653375685215,bbknn,Batch
30,0.05971451476216316,bbknn,Batch
31,0.035018183290958405,bbknn,Batch
32,0.059628792107105255,bbknn,Batch
33,0.06179938092827797,bbknn,Batch
34,0.03850725293159485,bbknn,Batch
35,0.06180102005600929,bbknn,Batch
36,0.053970761597156525,bbknn,Batch
37,0.04049970582127571,bbknn,Batch
38,0.055210381746292114,bbknn,Batch
39,0.041625089943408966,bbknn,Batch
40,0.04673187434673309,bbknn,Batch
41,0.023958871141076088,bbknn,Batch
42,0.039448969066143036,bbknn,Batch
43,0.0412580668926239,bbknn,Batch
44,0.05289851129055023,bbknn,Batch
45,0.05407416447997093,bbknn,Batch
46,0.036387182772159576,bbknn,Batch
47,0.06159793958067894,bbknn,Batch
48,0.057012200355529785,bbknn,Batch
49,0.06173628196120262,bbknn,Batch
50,0.05503058806061745,bbknn,Batch
51,0.05384302884340286,bbknn,Batch
52,0.06250981241464615,bbknn,Batch
53,0.03988649323582649,bbknn,Batch
54,0.03836623951792717,bbknn,Batch
55,0.042805954813957214,bbknn,Batch
56,0.04932214692234993,bbknn,Batch
57,0.055391110479831696,bbknn,Batch
58,0.03829164057970047,bbknn,Batch
59,0.03628208115696907,bbknn,Batch
60,0.056832339614629745,bbknn,Batch
61,0.0677185133099556,bbknn,Batch
62,0.07267805188894272,bbknn,Batch
63,0.05280271917581558,bbknn,Batch
64,0.05471532419323921,bbknn,Batch
65,0.06968232244253159,bbknn,Batch
66,0.05380808189511299,bbknn,Batch
67,0.06084298714995384,bbknn,Batch
68,0.0638250783085823,bbknn,Batch
69,0.06239700689911842,bbknn,Batch
70,0.060681793838739395,bbknn,Batch
71,0.06568776071071625,bbknn,Batch
72,0.05143504962325096,bbknn,Batch
73,0.059605397284030914,bbknn,Batch
74,0.06679726392030716,bbknn,Batch
75,0.05986694246530533,bbknn,Batch
76,0.05447347089648247,bbknn,Batch
77,0.058777324855327606,bbknn,Batch
78,0.0740850418806076,bbknn,Batch
79,0.061092860996723175,bbknn,Batch
80,0.05933544039726257,bbknn,Batch
81,0.05417574197053909,bbknn,Batch
82,0.07354895770549774,bbknn,Batch
83,0.055645652115345,bbknn,Batch
84,0.06716158986091614,bbknn,Batch
85,0.05986743047833443,bbknn,Batch
86,0.05855521932244301,bbknn,Batch
87,0.0637083575129509,bbknn,Batch
88,0.06020504981279373,bbknn,Batch
89,0.04059690609574318,bbknn,Batch
90,0.060120340436697006,bbknn,Batch
91,0.06206775829195976,bbknn,Batch
92,0.07448817789554596,bbknn,Batch
93,0.059986963868141174,bbknn,Batch
94,0.05982336774468422,bbknn,Batch
95,0.04682140424847603,bbknn,Batch
96,0.060767289251089096,bbknn,Batch
97,0.06148378178477287,bbknn,Batch
98,0.05436978489160538,bbknn,Batch
99,0.05817938968539238,bbknn,Batch
100,0.06280075013637543,bbknn,Batch
101,0.04001590982079506,bbknn,Batch
102,0.06757915019989014,bbknn,Batch
103,0.04253505542874336,bbknn,Batch
104,0.05980655923485756,bbknn,Batch
105,0.05217102915048599,bbknn,Batch
106,0.06470991671085358,bbknn,Batch
107,0.07453122735023499,bbknn,Batch
108,0.0691041424870491,bbknn,Batch
109,0.05990134924650192,bbknn,Batch
110,0.07213439792394638,bbknn,Batch
111,0.07046889513731003,bbknn,Batch
112,0.06294514983892441,bbknn,Batch
113,0.08059988170862198,bbknn,Batch
114,0.062329765409231186,bbknn,Batch
115,0.05181683599948883,bbknn,Batch
116,0.06720486283302307,bbknn,Batch
117,0.07213739305734634,bbknn,Batch
118,0.07291929423809052,bbknn,Batch
119,0.07503536343574524,bbknn,Batch
120,0.06996099650859833,bbknn,Batch
121,0.058218907564878464,bbknn,Batch
122,0.059897106140851974,bbknn,Batch
123,0.05636102706193924,bbknn,Batch
124,0.0586470402777195,bbknn,Batch
125,0.06768228113651276,bbknn,Batch
126,0.08191012591123581,bbknn,Batch
127,0.07653209567070007,bbknn,Batch
128,0.0516606904566288,bbknn,Batch
129,0.055627886205911636,bbknn,Batch
130,0.0561138316988945,bbknn,Batch
131,0.07029864192008972,bbknn,Batch
132,0.062199365347623825,bbknn,Batch
133,0.08442335575819016,bbknn,Batch
134,0.06722108274698257,bbknn,Batch
135,0.0678543969988823,bbknn,Batch
136,0.07397914677858353,bbknn,Batch
137,0.051718492060899734,bbknn,Batch
138,0.06264246255159378,bbknn,Batch
139,0.07082739472389221,bbknn,Batch
140,0.06114839017391205,bbknn,Batch
141,0.06348201632499695,bbknn,Batch
142,0.058258965611457825,bbknn,Batch
143,0.06151225045323372,bbknn,Batch
144,0.06852050125598907,bbknn,Batch
145,0.045219287276268005,bbknn,Batch
146,0.08073199540376663,bbknn,Batch
147,0.07112301886081696,bbknn,Batch
148,0.06083902716636658,bbknn,Batch
149,0.0554492250084877,bbknn,Batch
150,0.062447790056467056,bbknn,Batch
151,0.06321360170841217,bbknn,Batch
152,0.058540720492601395,bbknn,Batch
153,0.07136707752943039,bbknn,Batch
154,0.08292731642723083,bbknn,Batch
