A01_A01_RT_384	sciChem18
A01_A01_RT_389	sciChem18
A01_A01_RT_390	sciChem18
A01_A01_RT_396	sciChem18
A01_A01_RT_397	sciChem18
A01_A01_RT_400	sciChem18
A01_A01_RT_401	sciChem18
A01_A01_RT_402	sciChem18
A01_A01_RT_403	sciChem18
A01_A01_RT_404	sciChem18
A01_A01_RT_405	sciChem18
A01_A01_RT_406	sciChem18
A01_A01_RT_420	sciChem18
A01_A01_RT_424	sciChem18
A01_A01_RT_429	sciChem18
A01_A01_RT_432	sciChem18
A01_A01_RT_434	sciChem18
A01_A01_RT_436	sciChem18
A01_A01_RT_437	sciChem18
A01_A01_RT_443	sciChem18
A01_A01_RT_444	sciChem18
A01_A01_RT_445	sciChem18
A01_A01_RT_449	sciChem18
A01_A01_RT_453	sciChem18
A01_A01_RT_454	sciChem18
A01_A01_RT_459	sciChem18
A01_A01_RT_460	sciChem18
A01_A01_RT_464	sciChem18
A01_A01_RT_468	sciChem18
A01_A01_RT_472	sciChem18
A01_A01_RT_478	sciChem18
A01_A01_RT_479	sciChem18
A01_A01_RT_483	sciChem18
A01_A01_RT_486	sciChem18
A01_A01_RT_490	sciChem18
A01_A01_RT_496	sciChem18
A01_A01_RT_502	sciChem18
A01_A01_RT_503	sciChem18
A01_A01_RT_513	sciChem18
A01_A01_RT_515	sciChem18
A01_A01_RT_519	sciChem18
A01_A01_RT_521	sciChem18
A01_A01_RT_527	sciChem18
A01_A01_RT_529	sciChem18
A01_A01_RT_530	sciChem18
A01_A01_RT_534	sciChem18
A01_A01_RT_536	sciChem18
A01_A01_RT_543	sciChem18
A01_A01_RT_555	sciChem18
A01_A01_RT_564	sciChem18
A01_A01_RT_568	sciChem18
A01_A01_RT_570	sciChem18
A01_A01_RT_574	sciChem18
A01_A01_RT_588	sciChem18
A01_A01_RT_589	sciChem18
A01_A01_RT_590	sciChem18
A01_A01_RT_591	sciChem18
A01_A01_RT_597	sciChem18
A01_A01_RT_605	sciChem18
A01_A01_RT_606	sciChem18
A01_A01_RT_611	sciChem18
A01_A01_RT_613	sciChem18
A01_A01_RT_614	sciChem18
A01_A01_RT_616	sciChem18
A01_A01_RT_618	sciChem18
A01_A01_RT_624	sciChem18
A01_A01_RT_626	sciChem18
A01_A01_RT_627	sciChem18
A01_A01_RT_629	sciChem18
A01_A01_RT_634	sciChem18
A01_A01_RT_637	sciChem18
A01_A01_RT_660	sciChem18
A01_A01_RT_661	sciChem18
A01_A01_RT_667	sciChem18
A01_A01_RT_670	sciChem18
A01_A01_RT_671	sciChem18
A01_A01_RT_674	sciChem18
A01_A01_RT_685	sciChem18
A01_A01_RT_688	sciChem18
A01_A01_RT_694	sciChem18
A01_A01_RT_698	sciChem18
A01_A01_RT_699	sciChem18
A01_A01_RT_707	sciChem18
A01_A01_RT_708	sciChem18
A01_A01_RT_713	sciChem18
A01_A01_RT_721	sciChem18
