id gene_short_name
ENSG00000007541.16 PIGQ
ENSG00000007545.15 CRAMP1
ENSG00000007866.19 TEAD3
ENSG00000007908.15 SELE
ENSG00000007923.15 DNAJC11
ENSG00000007933.12 FMO3
ENSG00000007944.14 MYLIP
ENSG00000007952.17 NOX1
ENSG00000007968.6 E2F2
ENSG00000008018.8 PSMB1
ENSG00000008056.13 SYN1
ENSG00000008083.13 JARID2
ENSG00000008086.11 CDKL5
ENSG00000008118.9 CAMK1G
ENSG00000008128.22 CDK11A
ENSG00000008130.15 NADK
ENSG00000008196.12 TFAP2B
ENSG00000008197.4 TFAP2D
ENSG00000008226.19 DLEC1
ENSG00000008256.15 CYTH3
ENSG00000008277.14 ADAM22
ENSG00000008282.8 SYPL1
ENSG00000008283.15 CYB561
ENSG00000008294.20 SPAG9
ENSG00000008300.16 CELSR3
ENSG00000008311.14 AASS
ENSG00000008323.15 PLEKHG6
ENSG00000008324.11 SS18L2
ENSG00000008382.15 MPND
ENSG00000008394.12 MGST1
ENSG00000008405.11 CRY1
ENSG00000008438.4 PGLYRP1
ENSG00000008441.16 NFIX
ENSG00000008513.14 ST3GAL1
ENSG00000008516.16 MMP25
ENSG00000008517.16 IL32
ENSG00000008710.19 PKD1
ENSG00000008735.13 MAPK8IP2
ENSG00000008838.19 MED24
ENSG00000008853.16 RHOBTB2
ENSG00000008869.11 HEATR5B
ENSG00000008952.16 SEC62
ENSG00000008988.9 RPS20
ENSG00000009307.15 CSDE1
ENSG00000009335.17 UBE3C
ENSG00000009413.15 REV3L
ENSG00000009694.13 TENM1
ENSG00000009709.11 PAX7
ENSG00000009724.16 MASP2
ENSG00000009765.14 IYD
ENSG00000009780.15 FAM76A
ENSG00000009790.14 TRAF3IP3
ENSG00000009830.11 POMT2
ENSG00000009844.15 VTA1
ENSG00000009950.15 MLXIPL
ENSG00000009954.10 BAZ1B
ENSG00000010017.12 RANBP9
ENSG00000010030.13 ETV7
ENSG00000010072.15 SPRTN
ENSG00000010165.19 METTL13
ENSG00000010219.13 DYRK4
ENSG00000010244.18 ZNF207
ENSG00000010256.10 UQCRC1
ENSG00000010270.13 STARD3NL
ENSG00000010278.12 CD9
ENSG00000010282.14 HHATL
ENSG00000010292.12 NCAPD2
ENSG00000010295.19 IFFO1
ENSG00000010310.8 GIPR
ENSG00000010318.20 PHF7
ENSG00000010319.6 SEMA3G
ENSG00000010322.15 NISCH
ENSG00000010327.10 STAB1
ENSG00000010361.13 FUZ
ENSG00000010379.15 SLC6A13
ENSG00000010404.17 IDS
ENSG00000010438.16 PRSS3
ENSG00000010539.11 ZNF200
ENSG00000010610.9 CD4
ENSG00000010626.14 LRRC23
ENSG00000010671.15 BTK
ENSG00000010704.18 HFE
ENSG00000010803.16 SCMH1
ENSG00000010810.17 FYN
ENSG00000010818.9 HIVEP2
ENSG00000010932.16 FMO1
ENSG00000011007.12 ELOA
ENSG00000011009.10 LYPLA2
ENSG00000011021.21 CLCN6
ENSG00000011028.13 MRC2
ENSG00000011052.21 NME1-NME2
ENSG00000011083.8 SLC6A7
ENSG00000011105.12 TSPAN9
ENSG00000011114.14 BTBD7
ENSG00000011132.11 APBA3
ENSG00000011143.16 MKS1
ENSG00000011198.7 ABHD5
ENSG00000011201.11 ANOS1
ENSG00000011243.17 AKAP8L
ENSG00000011258.15 MBTD1
ENSG00000011260.13 UTP18
ENSG00000011275.18 RNF216
ENSG00000011295.15 TTC19
ENSG00000011304.19 PTBP1
ENSG00000011332.19 DPF1
ENSG00000011347.9 SYT7
ENSG00000011376.9 LARS2
ENSG00000011405.13 PIK3C2A
ENSG00000011422.11 PLAUR
ENSG00000011426.10 ANLN
ENSG00000011451.17 WIZ
ENSG00000011454.16 RABGAP1
ENSG00000011465.16 DCN
ENSG00000011478.11 QPCTL
ENSG00000011485.14 PPP5C
ENSG00000011523.13 CEP68
ENSG00000011566.14 MAP4K3
ENSG00000011590.13 ZBTB32
ENSG00000011600.11 TYROBP
ENSG00000011638.10 TMEM159
ENSG00000011677.12 GABRA3
ENSG00000012048.20 BRCA1
ENSG00000012061.15 ERCC1
ENSG00000012124.16 CD22
ENSG00000012171.19 SEMA3B
ENSG00000012174.11 MBTPS2
ENSG00000012211.12 PRICKLE3
ENSG00000012223.12 LTF
ENSG00000012232.8 EXTL3
ENSG00000012504.13 NR1H4
ENSG00000012660.13 ELOVL5
ENSG00000012779.10 ALOX5
ENSG00000012817.15 KDM5D
ENSG00000012822.15 CALCOCO1
ENSG00000012963.14 UBR7
ENSG00000012983.11 MAP4K5
ENSG00000013016.15 EHD3
ENSG00000013275.7 PSMC4
ENSG00000013288.8 MAN2B2
ENSG00000013293.5 SLC7A14
ENSG00000013297.10 CLDN11
ENSG00000013306.15 SLC25A39
ENSG00000013364.18 MVP
ENSG00000013374.15 NUB1
ENSG00000013375.15 PGM3
ENSG00000013392.7 RWDD2A
ENSG00000013441.15 CLK1
ENSG00000013503.9 POLR3B
ENSG00000013523.9 ANGEL1
ENSG00000013561.17 RNF14
ENSG00000013563.13 DNASE1L1
ENSG00000013573.16 DDX11
ENSG00000013583.8 HEBP1
ENSG00000013588.7 GPRC5A
ENSG00000013619.13 MAMLD1
ENSG00000013725.14 CD6
ENSG00000013810.18 TACC3
ENSG00000014123.9 UFL1
ENSG00000014138.8 POLA2
ENSG00000014164.6 ZC3H3
ENSG00000014216.15 CAPN1
ENSG00000014257.15 ACPP
ENSG00000014641.17 MDH1
ENSG00000014824.13 SLC30A9
ENSG00000014914.20 MTMR11
ENSG00000014919.12 COX15
ENSG00000015133.18 CCDC88C
ENSG00000015153.14 YAF2
ENSG00000015171.19 ZMYND11
ENSG00000015285.10 WAS
ENSG00000015413.9 DPEP1
ENSG00000015475.18 BID
ENSG00000015479.18 MATR3
ENSG00000015520.14 NPC1L1
ENSG00000015532.9 XYLT2
ENSG00000015568.12 RGPD5
ENSG00000015592.16 STMN4
ENSG00000015676.17 NUDCD3
ENSG00000016082.14 ISL1
ENSG00000016391.10 CHDH
ENSG00000016402.13 IL20RA
ENSG00000016490.15 CLCA1
ENSG00000016602.9 CLCA4
ENSG00000016864.18 GLT8D1
ENSG00000017260.19 ATP2C1
ENSG00000017427.15 IGF1
ENSG00000017483.14 SLC38A5
ENSG00000017797.12 RALBP1
ENSG00000018189.12 RUFY3
ENSG00000018236.14 CNTN1
ENSG00000018280.16 SLC11A1
ENSG00000018408.14 WWTR1
ENSG00000018510.13 AGPS
ENSG00000018607.6 ZNF806
ENSG00000018610.13 CXorf56
ENSG00000018625.14 ATP1A2
ENSG00000018699.11 TTC27
ENSG00000018869.16 ZNF582
ENSG00000019102.11 VSIG2
ENSG00000019144.18 PHLDB1
ENSG00000019169.10 MARCO
ENSG00000019186.9 CYP24A1
ENSG00000019485.13 PRDM11
ENSG00000019505.7 SYT13
ENSG00000019549.9 SNAI2
ENSG00000019582.14 CD74
ENSG00000019991.15 HGF
ENSG00000019995.6 ZRANB1
ENSG00000020129.15 NCDN
ENSG00000020181.17 ADGRA2
ENSG00000020219.9 CCT8L1P
ENSG00000020256.19 ZFP64
ENSG00000020426.10 MNAT1
ENSG00000020577.13 SAMD4A
ENSG00000020633.18 RUNX3
ENSG00000020922.12 MRE11
ENSG00000021300.13 PLEKHB1
ENSG00000021355.12 SERPINB1
ENSG00000021461.16 CYP3A43
ENSG00000021488.12 SLC7A9
ENSG00000021574.11 SPAST
ENSG00000021645.18 NRXN3
ENSG00000021762.19 OSBPL5
